MSALabel,MSANo,NumberRespondents,DisproportionateBlackDeath,BlackWeaponAssoc,WhiteImplicit,WhiteExplicit,BlackImplicit,BlackExplicit,BlackMedianIncome,WhiteMedianIncome,PcentHSdegreeBlack,PcentBAdegreeBlack,PcentHSdegreeWhite,PcentBAdegreeWhite,Segregation,VioCrime,Unemployment,PopulationDensity,TotalLethalForceRate
"Burlington-South Burlington, VT MSA",15540,347, ,0.39824622,0.383701594,0.556122449,0.050415917,-1.68852459,44087,63261,0.074577208,0.123011114,0.148586849,0.17398248,0.024, ,5.8,168.7259204, 
"Canton-Massillon, OH MSA",15940,256, ,0.447066865,0.424818098,1.074182243,-0.092970167,-1.659574468,24605,47618,0.203254425,0.044096531,0.257100326,0.09984519,0.194,279.36,9.5,416.9817401, 
"Cape Coral-Fort Myers, FL MSA",15980,208, ,0.436966458,0.441418666,0.962699822,0.032418077,-1.374045802,33104,50978,0.162861578,0.050101207,0.194236755,0.119329439,0.23,371.98,11.9,788.7109609, 
"Cedar Rapids, IA MSA",16300,277, ,0.434424824,0.396080412,0.928965517,0.070071088,-1.74025974,28502,58253,0.073963443,0.070554513,0.175107228,0.137851883,0.043,193.64,5.1,128.4072102, 
"Champaign-Urbana, IL MSA",16580,473,0.393,0.4268244,0.412584742,1.036682089,-0.006771435,-1.763948498,26082,52956,0.162115423,0.056221309,0.135157834,0.129853089,0.191,507.3,7.1,120.7084413,2
"Charleston-North Charleston, SC MSA",16700,331,0.728,0.407469372,0.467676524,1.178891606,-0.064916084,-1.853125,31422,62123,0.201729234,0.051440928,0.123567898,0.166263439,0.198,391.5,9.6,256.7856339,1
"Charlottesville, VA MSA",16820,435, ,0.433920557,0.406411218,0.819380356,-0.000861242,-1.68797954,37529,62917,0.214549195,0.053462065,0.130927849,0.162585183,0.084,178.5,5.5,122.5995427, 
"Chattanooga, TN-GA MSA",16860,229,-0.139,0.381004378,0.414290948,1.037552156,-0.069482203,-1.5625,27331,49036,0.185107428,0.045059045,0.16398906,0.110758928,0.405,516.55,9.1,252.8248126,1
"Chico, CA MSA",17020,272, ,0.373707185,0.39608899,0.786885246,-0.060517249,-1.481481481,27330,45786,0.114024054,0.062441744,0.122254918,0.110600549,0.017,299.48,13.1,134.4361636, 
"Clarksville, TN-KY MSA",17300,151, ,0.352144366,0.390795918,0.845373891,-0.052427503,-1.726872247,34724,49532,0.150797442,0.056788655,0.151375417,0.095185251,0.128,422.82,10.7,126.9785218, 
"College Station-Bryan, TX MSA",17780,480, ,0.4543807,0.422187693,1.247239558,-0.039595197,-1.649350649,25094,47898,0.159864978,0.043596164,0.073245601,0.104976693,0.097,355.52,7.9,108.8776843, 
"Colorado Springs, CO MSA",17820,603, ,0.330286794,0.394834753,0.717660292,-0.029896336,-1.401197605,45765,61765,0.09938486,0.085599301,0.103498423,0.141582766,0.041,393.56,9.3,240.5541919, 
"Columbia, MO MSA",17860,332, ,0.375715983,0.413377225,1.145044785,-0.00431747,-1.864640884,27658,51475,0.120422539,0.075630793,0.096169071,0.171401573,0.072,375.82,5.6,150.345129, 
"Columbia, SC MSA",17900,409, ,0.384934511,0.439063248,1.279975654,-0.064502145,-1.646494907,35311,58025,0.169448529,0.082270124,0.145620136,0.143305998,0.28,626.8,9.9,207.3048515, 
"Columbus, OH MSA",18140,1831,0.356,0.421652299,0.41489148,0.960510005,-0.021358734,-1.733400912,33478,58927,0.152225472,0.078366514,0.177529004,0.151122454,0.336,342.1666667,7.6,462.9298664,4
"Corpus Christi, TX MSA",18580,232, ,0.404847669,0.41899871,0.930013459,0.003593096,-1.526315789,30446,57403,0.157620681,0.046475513,0.064602405,0.059120267,0.037,563.36,7.2,240.0131018, 
"Corvallis, OR MSA",18700,268, ,0.384523383,0.349755862,0.647363465,0.051661989,-1.458333333,28523,51273, , ,0.068642716,0.168318595, ,115.96,8.7,126.60712, 
"Dallas-Fort Worth-Arlington, TX MSA",19100,3180,0.465384615,0.394160466,0.417820778,1.043120925,-0.055465661,-1.730520715,40669,72011,0.148292227,0.100196832,0.089154904,0.136497374,0.234,352.15,7.6,713.7240515,13
"Davenport-Moline-Rock Island, IA-IL MSA",19340,252,0.927,0.415185479,0.393980471,0.986101459,0.01284872,-1.655462185,29636,53829,0.1338178,0.044271627,0.184242907,0.120305655,0.131,393.24,6.8,167.2707524,1
"Dayton, OH MSA",19380,719,0.345,0.423972231,0.416555057,0.95505618,-0.047375314,-1.846441948,29055,51481,0.150192988,0.066116736,0.183822837,0.109991063,0.48,287.74,9.8,493.2652744,2
"Deltona-Daytona Beach-Ormond Beach, FL MSA",19660,369,-0.105,0.424592125,0.423973277,1.090273363,-0.050261754,-1.645687646,28866,45040,0.168894798,0.069264767,0.20980098,0.099385336,0.257,460.44,10.5,449.2087147,1
"Dubuque, IA MSA",20220,157, ,0.41761858,0.392036497,1.069239501,0.004768417,-1.817073171,22102,52205, , ,0.221901155,0.123018572,0.055,215.24,4.7,153.9574017, 
"Duluth, MN-WI MSA",20260,367, ,0.421095489,0.411367391,1.059099437,-0.035949581,-1.609375,18518,48364,0.069185283,0.03267792,0.188181763,0.121184851,0.024,91.56,7.8,33.25492851, 
"Eau Claire, WI MSA",20740,394, ,0.38739126,0.364234249,0.951084216,0.071120684,-1,25536,49728, , ,0.188097007,0.111584624,0.025,139.625,6.1,97.88345851, 
"El Paso, TX MSA",21340,208, ,0.385900893,0.377626862,0.471865745,-0.044506232,-1.6875,50281,56957,0.096184408,0.093059924,0.019209126,0.027243316,0.042,394.3,9,790.6117084, 
"Erie, PA MSA",21500,188, ,0.367163091,0.398350566,0.998550725,-0.047384522,-1.515463918,22561,47379,0.197836573,0.040005029,0.248926109,0.115897803,0.207,246.88,8.5,351.0787294, 
"Evansville, IN-KY MSA",21780,210, ,0.436481297,0.404018964,0.902503294,0.04568927,-1,23714,50438,0.218393391,0.042182833,0.202410238,0.105225307,0.16,181.5,7,157.0413239, 
"Fargo, ND-MN MSA",22020,297, ,0.38408804,0.394920915,1.040728832,-0.034436145,-1.625,21950,54466,0.074763513,0.082281632,0.119193449,0.16120088,0.014,101.52,3.9,74.28984765, 
"Fayetteville, NC MSA",22180,178,-0.36,0.378598356,0.437877507,1.06013579,-0.038097867,-1.645443196,38157,51703,0.149905085,0.077551174,0.128052941,0.097703337,0.108,482.5,13.1,351.2582359,1
"Fayetteville-Springdale-Rogers, AR-MO MSA",22220,274, ,0.378393104,0.397234661,0.948525469,-0.022936637,-1.756756757,37233,49384,0.126907608,0.077899775,0.158611327,0.115192143,0.021,344.4333333,6.2,146.4417814, 
"Flagstaff, AZ MSA",22380,305, ,0.439932059,0.363705866,0.588064047,-0.04456421,-1.588235294,58438,55472, , ,0.071858169,0.144521737,0.012,365.98,9.7,7.219605201, 
"Flint, MI MSA",22420,302, ,0.416549202,0.420960024,0.979937304,-0.120266025,-1.826666667,25926,47464,0.180241582,0.044277967,0.205613554,0.08602615,0.512,789.8,15.5,668.4539141, 
"Fort Wayne, IN MSA",23060,264,-0.103,0.459870021,0.418800043,1.038603913,-0.100861074,-1.98816568,28278,53037,0.14958371,0.047490181,0.186569227,0.113187639,0.258,237.34,8.5,305.8543851,1
"Fresno, CA MSA",23420,580,-0.051,0.394387802,0.391669454,0.97790404,-0.098371044,-1.806306306,27347,59666,0.128575749,0.051339287,0.081877637,0.079497218,0.059,521.36,14.3,156.1684009,1
"Gainesville, FL MSA",23540,316,0.808,0.407820303,0.451084856,1.032941176,-0.003114267,-1.467713787,26469,49120,0.16085075,0.057851192,0.099651241,0.124799705,0.219,601.08,8.9,215.7880989,2
"Grand Rapids-Wyoming, MI MSA",24340,703,-0.065,0.383978025,0.38428799,0.894261089,-0.049392062,-1.633093525,26572,55294,0.124403197,0.047926198,0.160817086,0.133121253,0.221,337.775,8.7,278.020036,2
"Greeley, CO MSA",24540,358, ,0.381734579,0.349061668,0.786042241,0.011655262,-1.364485981,33258,62434,0.140902132,0.085092486,0.114799579,0.118406548,0.012,286.78,7.5,63.40855387, 
"Green Bay, WI MSA",24580,455,-0.022,0.38311098,0.381473484,1.078621613,0.063567304,-1.197183099,24673,54720,0.10781862,0.053982457,0.213646399,0.127097017,0.074,191.6,6.9,163.7464878,2
"Greensboro-High Point, NC MSA",24660,463,-0.261,0.395040633,0.423689074,1.043308623,-0.043882477,-1.932591623,32414,50924,0.160511454,0.088312799,0.163266713,0.138031798,0.298,354.65,10.4,363.0309711,1
"Greenville, NC MSA",24780,245,0.661,0.414170945,0.452392353,1.386879215,-0.063546762,-1.50739645,27854,50724,0.173756891,0.054052384,0.105023861,0.139664576,0.12,426.4,12.1,206.4599307,2
"Harrisburg-Carlisle, PA MSA",25420,683, ,0.393055618,0.404654939,1.002994909,-0.064405478,-1.77721519,37409,60644,0.196388751,0.054853836,0.236486956,0.131141547,0.289,287.075,6.8,338.7741598, 
"Harrisonburg, VA MSA",25500,237,-0.039,0.389307914,0.391094171,0.924291686,0.00605844,-1.740740741,30844,49084,0.124037856,0.027808487,0.161581473,0.09765866,0.031,127.1,6.3,144.5210222,2
"Hartford-West Hartford-East Hartford, CT MSA",25540,1192,-0.11,0.405023993,0.415531057,0.900340716,-0.031880316,-1.697368421,43298,76952,0.169158905,0.068103421,0.159665902,0.149100637,0.287,278.62,9.4,800.4565624,2
"Huntsville, AL MSA",26620,169,-0.22,0.402440443,0.423794579,0.980701754,-0.063511066,-1.656084656,36078,63975,0.122115649,0.09376775,0.124596862,0.167728045,0.279,476.52,9.4,306.7087603,1
"Iowa City, IA MSA",26980,259, ,0.419464573,0.411997702,1,0.040864015,-1.377622378,23935,56209,0.0883067,0.086296466,0.10488847,0.154788004,0.045,258.3,3.8,128.995884, 
"Ithaca, NY MSA",27060,676, ,0.420426138,0.408367923,0.711996115,0.034339554,-1.658986175,22010,56475,0.045824008,0.060782104,0.102018015,0.122364704,0.023,117.6,5.8,213.9771917, 
"Jacksonville, FL MSA",27260,497,-0.215,0.382089683,0.437590635,1.148657794,-0.038817686,-1.568981922,34169,58452,0.17958035,0.069025227,0.156517035,0.135003515,0.326,530.16,10.6,420.3571793,2
"Johnson City, TN MSA",27740,154, ,0.430505936,0.403225478,0.741935484,-0.071957267,-1.633333333,27976,38782,0.167929926,0.042842778,0.193924265,0.097148118,0.06,320.34,7.5,232.7341013, 
"Kalamazoo-Portage, MI MSA",28020,412,-0.094,0.37964073,0.380838333,0.870235546,-0.116693515,-1.880102041,24079,49313,0.099277036,0.060654984,0.151763,0.126212903,0.184,410.3666667,10.1,279.3429553,1
"Kansas City, MO-KS MSA",28140,1396,0.041666667,0.399146651,0.394044543,1.04544507,-0.019193111,-1.664929263,33297,62716,0.162670069,0.064429383,0.148545608,0.156962318,0.354,475.38,7.4,260.0286964,6
"Knoxville, TN MSA",28940,441,-0.06,0.365540984,0.404087624,0.872323553,-0.043975693,-1.890829694,26668,46452,0.169985392,0.062093415,0.177604603,0.114089213,0.236,420.62,8.2,375.9219978,1
"Lakeland-Winter Haven, FL MSA",29460,206, ,0.426831463,0.437076614,1.023474178,-0.086312057,-1.513422819,32183,46481,0.178001478,0.057851286,0.187701655,0.077410618,0.169,398.74,11.9,334.8996914, 
"Lancaster, PA MSA",29540,414, ,0.381962884,0.41205831,0.933145009,0.009180469,-1.690265487,33730,59349,0.171723909,0.039782372,0.224241696,0.111962763,0.079,174.24,6.7,550.3701885, 
"Lansing-East Lansing, MI MSA",29620,528,-0.084,0.421898299,0.382297944,0.855294826,-0.0835701,-1.88247012,33585,53491,0.115667206,0.083833835,0.143912262,0.121390052,0.138,394.48,9.4,273.3316625,2
"Lawrence, KS MSA",29940,243, ,0.420821665,0.352266108,0.712283594,0.035377973,-1.428571429,34198,51563,0.078279717,0.103816088,0.093971811,0.152757497,0.011,358.1,6.7,243.1083631, 
"Lexington-Fayette, KY MSA",30460,446,-0.111,0.371887122,0.393982529,0.832324671,-0.041824778,-1.774725275,27987,54174,0.153224184,0.067682076,0.126985095,0.144825746,0.141,325.92,8.1,321.4843364,1
"Lincoln, NE MSA",30700,630,-0.036,0.396904637,0.410841461,1.0092827,-0.032289483,-1.983805668,25984,54931,0.111626365,0.061407928,0.121931658,0.154351039,0.033,347.04,5.9,214.4514853,1
"Logan, UT-ID MSA",30860,182,-0.007,0.40212615,0.396796163,0.754374159,0.181745321,-1.34375,33750,50290, , ,0.102196712,0.122915581, ,55.05,6.4,68.6053729,1
"Lubbock, TX MSA",31180,270, ,0.397170786,0.426773101,1.212106538,-0.022924599,-1.87593985,28500,51045,0.163548548,0.054354844,0.084077705,0.102698942,0.172,719.96,6.5,158.6426546, 
"Lynchburg, VA MSA",31340,220, ,0.428442436,0.432012717,1.065775951,0.000569883,-1.654255319,28747,51108,0.222915047,0.043183808,0.174401467,0.112472011,0.165,207.06,7.8,119.1489238, 
"Madison, WI MSA",31540,931,0.955,0.425857705,0.364474969,0.772967101,-0.031390397,-1.638961039,27395,63936,0.097817807,0.044576563,0.140985637,0.172806858,0.066,217.82,5.5,208.6312956,1
"Manchester-Nashua, NH MSA",31700,375,-0.023,0.391481486,0.404459116,0.766452251,-0.015877667,-1.627118644,46616,71276,0.127204816,0.087392622,0.16229024,0.159340355,0.022,253.78,6.7,457.3716855,2
"Manhattan, KS MSA",31740,249, ,0.387179941,0.410774734,1.197443182,-0.018493714,-1.411764706,45629,47903,0.049812644,0.063639642,0.103233601,0.117236633,0.073,257.08,5,69.23843948, 
"Mankato-North Mankato, MN MSA",31860,213, ,0.455667204,0.40950662,1.127118644,0.008665623,-1.463414634,15536,54637,0.096813225,0.040837579,0.156544052,0.136256997,0.019,72.16,5.1,80.86348181, 
"Medford, OR MSA",32780,151,-0.008,0.393345926,0.346603627,0.573208723,0.08696737,-1.8,33301,45557, , ,0.154637184,0.110472454,0.004,309.66,12.4,73.00251079,2
"Memphis, TN-MS-AR MSA",32820,581,0.04,0.40711271,0.43697487,1.221277692,-0.078482128,-1.764454976,33328,62838,0.169252216,0.065731697,0.147343265,0.151163171,0.427,1014.12,11,287.4930132,6
"Milwaukee-Waukesha-West Allis, WI MSA",33340,1617,0.335,0.416002172,0.407432994,1.09915781,-0.053594258,-1.712038304,27220,62697,0.15002008,0.044620861,0.162199651,0.170366784,0.586,541.78,8.4,1069.532209,2
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",33460,4224,0.326,0.396832476,0.382390047,0.962678109,-0.009279937,-1.652047993,30584,71915,0.112034159,0.070559178,0.13961438,0.189074398,0.144,107.14,6.6,544.1745924,5
"Mobile, AL MSA",33660,150,-0.349,0.39052473,0.447923869,1.330197554,-0.021342615,-1.572727273,27705,52434,0.186565513,0.052296821,0.180390406,0.111935812,0.42,558.34,11.1,335.9200334,2
"Morgantown, WV MSA",34060,384,-0.036,0.414660798,0.423626363,1.035761589,-0.052405531,-1.41958042,34406,45134,0.131955044,0.07032087,0.181314687,0.107270497,0.039,190.425,6.6,128.5690158,1
"Muncie, IN MSA",34620,220,-0.049,0.444782749,0.404594845,0.909727626,0.035998163,-1.475,26812,39134,0.141643797,0.04165994,0.18796546,0.08025696,0.24,315.42,11.4,300.08625,1
"New Haven-Milford, CT MSA",35300,1034,-0.127,0.442973466,0.406285179,0.840341515,-0.021416666,-1.573619632,40089,71488,0.179606484,0.065867873,0.178874724,0.129427214,0.237,383.44,10.4,1426.746971,1
"Norwich-New London, CT MSA",35980,337, ,0.353815782,0.403314792,0.901076371,-0.019390767,-1.231481481,43177,70768,0.194043465,0.048445751,0.188268218,0.12808838,0.074,383.5,8.4,412.1884231, 
"Ogden-Clearfield, UT MSA",36260,401,-0.012,0.340237044,0.341299793,0.509819967,0.011836929,-1.648148148,42845,65290,0.124749278,0.074876746,0.122877253,0.117749293,0.014,151.4,5.9,368.7078541,1
"Oklahoma City, OK MSA",36420,734,0.399,0.397413308,0.396544576,0.885279418,-0.056265953,-1.710267229,31948,54786,0.160290287,0.078424832,0.145356616,0.129177841,0.236,408.7,6.1,227.3381171,10
"Omaha-Council Bluffs, NE-IA MSA",36540,732,0.173,0.388434794,0.385583619,0.948425197,-0.032324946,-1.704288939,27976,62007,0.127609547,0.072791981,0.143433087,0.15069125,0.282,385.98,5.9,198.9471565,4
"Oshkosh-Neenah, WI MSA",36780,325, ,0.341466054,0.369475825,1.073424658,0.059471475,-2,24469,51612, , ,0.20606796,0.130721666,0.039,177.85,5.7,384.3474746, 
"Oxnard-Thousand Oaks-Ventura, CA MSA",37100,337,0.982,0.428810161,0.402940243,0.729083665,-0.014266848,-1.522875817,70962,85776,0.127030897,0.129093735,0.070405235,0.114208107,0.009,207.24,9.4,446.6948831,1
"Palm Bay-Melbourne-Titusville, FL MSA",37340,366,0.148,0.401304022,0.440733001,1.074301034,-0.009051482,-1.497536946,31824,50068,0.182161381,0.057956369,0.168828571,0.120865013,0.138,560.9,12.1,534.9957562,4
"Pensacola-Ferry Pass-Brent, FL MSA",37860,216,-0.16,0.388410486,0.418600367,1.126895451,0.002607065,-1.555555556,30087,53229,0.192518149,0.057183877,0.151326877,0.121362357,0.224,572.86,10.5,269.1686442,1
"Peoria, IL MSA",37900,205,-0.092,0.484831747,0.437526983,1.12445981,-0.114041955,-1.730434783,25509,57123,0.168979881,0.038565293,0.188855361,0.125750645,0.331,371,8,153.4637223,1
"Phoenix-Mesa-Scottsdale, AZ MSA",38060,2477,0.039909091,0.393956524,0.397676417,0.832243059,-0.0423152,-1.64298725,39377,59964,0.119998674,0.084348503,0.104067924,0.119205823,0.038,399.55,9.1,287.8592353,11
"Pittsburgh, PA MSA",38300,1780,0.918,0.426700113,0.414364185,1.013728014,-0.053642787,-1.665646519,26800,53260,0.179175165,0.064748352,0.236431015,0.141961345,0.356,239.84,7.4,446.1413581,2
"Pittsfield, MA MSA",38340,202, ,0.367555241,0.392992439,0.685207101,-0.023819372,-1.558823529,30129,49397,0.111017998,0.03013785,0.209312813,0.130649936,0.035,362.82,9.4,141.5790581, 
"Portland-South Portland, ME MSA",38860,504, ,0.395290648,0.359839803,0.606247966,0.091197073,-1.151162791,27050,58387,0.091605739,0.066183538,0.17088196,0.169570164,0.051,135.4666667,6.2,247.2042466, 
"Provo-Orem, UT MSA",39340,443,-0.006,0.357693528,0.365839119,0.624394966,-0.043569995,-1.020833333,30904,62531,0.038113975,0.119484288,0.066544919,0.119381921,0.002,74.125,6.7,97.63457727,2
"Reading, PA MSA",39740,239,-0.049,0.408366991,0.451926953,0.974281392,-0.045977509,-1.474683544,32522,60682,0.173232842,0.05733241,0.233260765,0.103058811,0.054,319.04,9.4,480.3723059,1
"Richmond, VA MSA",40060,1216,0.364666667,0.414679405,0.411079309,0.943731491,-0.042173388,-1.763252702,41561,69729,0.165837052,0.076205422,0.145260069,0.168440076,0.313,244.7,8.2,221.3297218,3
"Riverside-San Bernardino-Ontario, CA MSA",40140,1275,-0.074,0.398028025,0.407703496,0.961794943,-0.020235405,-1.640426612,47932,61153,0.126856919,0.076324599,0.093743682,0.063563571,0.05,350.58,14.1,154.9640972,5
"Roanoke, VA MSA",40220,209, ,0.407026837,0.434270805,0.926989336,-0.056494686,-1.737864078,32439,52931,0.187498186,0.059300112,0.179892797,0.130530511,0.33,254.06,6.6,165.2007125, 
"Rochester, MN MSA",40340,176, ,0.409499813,0.41919264,1.228299643,0.038058944,-1.28057554,32087,64547,0.068784051,0.064022079,0.163737375,0.149318441,0.049,56.72,4.5,115.1337953, 
"Rochester, NY MSA",40380,755,0.218333333,0.411167949,0.414897904,1.012565641,-0.042286066,-1.666115702,27752,57689,0.138716142,0.046621604,0.16164267,0.134091311,0.337,286.68,7.8,360.0683328,3
"Rockford, IL MSA",40420,502,-0.109,0.424551839,0.405502764,1.045865184,-0.001800614,-1.51980198,24241,53737,0.165052623,0.032156896,0.192676865,0.097998882,0.214,716.5,12.3,440.044249,1
"St. Cloud, MN MSA",41060,268, ,0.458404673,0.389671062,1.052533993,0.152985504,-0.845070423,19750,55548,0.082257303,0.045021487,0.184016272,0.107797155,0.054,86.65,6.7,107.9646989, 
"St. Louis, MO-IL MSA",41180,2312,0.618,0.401134089,0.419269005,1.13713843,-0.043275793,-1.842994465,31215,61044,0.147900684,0.061611861,0.161763395,0.146527585,0.538,463.58,8.9,326.1993737,5
"Salem, OR MSA",41420,253,-0.008,0.397642035,0.341144692,0.542372881,-0.007329268,-1.935483871,39258,51208, , ,0.127911533,0.101623182,0.008,229.58,12.6,203.1799843,1
"Salt Lake City, UT MSA",41620,927,-0.016,0.368159635,0.358506958,0.638297872,0.01536524,-1.42962963,35804,64726,0.099875256,0.081023523,0.111101806,0.128012503,0.013,338.28,7.1,117.6511126,3
"San Jose-Sunnyvale-Santa Clara, CA MSA",41940,992,0.474,0.391592198,0.392687583,0.737545389,0.001396477,-1.579227696,61489,100244,0.101429426,0.11831063,0.062754403,0.1557305,0.012,258.84,9,685.7190302,6
"Santa Cruz-Watsonville, CA MSA",42100,278,-0.011,0.40539309,0.322245369,0.420610687,-0.026146154,-1.476190476,64350,73592,0.085490813,0.114782485,0.062188245,0.148396723,0.003,427,8.7,589.3967665,1
"Savannah, GA MSA",42340,175,0.165,0.383620743,0.448071453,1.210688592,-0.06717831,-1.676056338,33879,58678,0.158207015,0.072385964,0.145963814,0.143188439,0.305,336.28,9.1,259.3913096,2
"Seattle-Tacoma-Bellevue, WA MSA",42660,3843,-0.056,0.387303669,0.359785652,0.645393068,-0.045067936,-1.780392157,41758,71962,0.130974607,0.085167165,0.120093132,0.174725789,0.075,334.16,8.2,585.7638386,4
