MSALabel,MSANo,NumberOfRespondents,DisproportionateBlackDeath,WhiteImplicit,WhiteExplicit,BlackMedianIncome,WhiteMedianIncome,PcentHSdegreeBlack,PcentHSdegreeWhite,PcentBAdegreeBlack,PcentBAdegreeWhite,Segregation,BlackImplicit,BlackExplicit,VioCrime,Unemployment,PopulationDensity,TotalLethalForceRate
"Jacksonville, FL MSA",27260,4295,-.215,.43759063515394,1.14865779381909,34169,58452,.179580349911995,.156517034942176,.0690252265938705,.135003514753039,.326,-.0388176863716977,-1.56898192197907,530.16,10.6,420.357179254079,2
"Jacksonville, NC MSA",27340,699, ,.427002089612646,1.09649122807018,34039,47970,.167021969177507,.121663490251633,.0609322141304242,.0632076133683788,.067,-.0247073948230565,-1.14556962025317,236.6,12.3,233.069130070095, 
"Jefferson City, MO MSA",27620,899, ,.41799314542227,1.09162895927602,32050,52299,.0891352408035254,.20937462786285,.056338504015938,.123717268252915,.123,-.0166524582440204,-1.3134328358209,287.54,5.4,66.6491353463577, 
"Johnson City, TN MSA",27740,779, ,.403225477961004,.741935483870968,27976,38782,.167929926420539,.193924264683549,.0428427783593384,.0971481176890621,.06,-.0719572670699884,-1.63333333333333,320.34,7.5,232.734101273605, 
"Johnstown, PA MSA",27780,454, ,.404483117994664,1.08921161825726,17098,42617,.150865795108457,.311870302491271,.0251442991847429,.0858774389524439,.107,-.0753921492329212,-1.14814814814815,207.86,8.8,208.729380905186, 
"Jonesboro, AR MSA",27860,733,-.126,.442753543065761,1.40308988764045,20904,42330,.149582676473054,.182871593074004,.0365490350032409,.0999924035434927,.113,-.0262323365237734,-1.57766990291262,375.72,8.8,82.5780609052655,1
"Joplin, MO MSA",27900,283, ,.414605762128197,.752475247524753,28203,41643,.194375273439157,.195997705485371,.0313406385512647,.0875863379608511,.015,-.0709483324798007,-.714285714285714,335.04,7.3,138.941371856235, 
"Kalamazoo-Portage, MI MSA",28020,2129,-.094,.380838332535882,.870235546038545,24079,49313,.099277036403298,.151763000361533,.0606549836299189,.126212902650311,.184,-.116693514541559,-1.88010204081633,410.366666666667,10.1,279.342955288274,1
"Kansas City, MO-KS MSA",28140,9032,.041666667,.394044543011564,1.04544506983531,33297,62716,.16267006911134,.148545607886965,.0644293827642378,.156962318240824,.354,-.0191931105650649,-1.66492926284438,475.38,7.4,260.028696440659,6
"Kingston, NY MSA",28740,602,.609666667,.379801433355077,.748822605965463,42102,61005,.176976769724273,.181423852645834,.0563546529547304,.115305890632287,.062,-.0127967759176292,-1.44230769230769,178.2,10.2,162.326361935995,3
"Knoxville, TN MSA",28940,2478,-.06,.404087623933395,.872323552735925,26668,46452,.169985391634706,.177604603148997,.0620934149137415,.114089212625343,.236,-.0439756927077142,-1.89082969432314,420.62,8.2,375.921997761326,1
"Kokomo, IN MSA",29020,293,-.076,.419749719266647,.775919732441471,30420,45149,.15948193152316,.214563315758226,.0393939432447647,.0894797291283592,.122,-.0531700587635395,-1.58620689655172,245.78,10.3,178.266722475707,1
"Lafayette, LA MSA",29180,521, ,.482801988306404,1.32969034608379,27768,54033,.170741278472281,.200202050288998,.0455459765648074,.106938913121352,.255,-.048150612513726,-1.81081081081081,417.64,7.7,272.006091905862, 
"Lake Charles, LA MSA",29340,310, ,.501139150532318,1.11111111111111,27688,52673,.188831242694337,.20584335043024,.0391013145647023,.104677335012181,.427,-.11095055115965,-1.8125,629.65,8.8,84.9917289047738, 
"Lake Havasu City-Kingman, AZ MSA",29420,364,-.011,.422051864350409,.631578947368421,28750,39655, ,.204102535864741, ,.0516655852328624,.005,-.159364358096182,-.333333333333333,199.775,14.3,15.0390460507004,1
"Lakeland-Winter Haven, FL MSA",29460,1250, ,.437076614355829,1.02347417840375,32183,46481,.17800147753366,.187701654525711,.0578512859266557,.0774106178588072,.169,-.0863120574052748,-1.51342281879195,398.74,11.9,334.899691407404, 
"Lancaster, PA MSA",29540,3055, ,.412058309740278,.933145009416196,33730,59349,.171723909135862,.224241695872388,.0397823724307759,.111962762753142,.079,.00918046926114853,-1.69026548672566,174.24,6.7,550.370188541615, 
"Lansing-East Lansing, MI MSA",29620,3291,-.084,.382297943506669,.855294825511432,33585,53491,.115667206021495,.143912262057314,.0838338346004394,.121390051956031,.138,-.0835700997767314,-1.88247011952191,394.48,9.4,273.33166254091,2
"Las Cruces, NM MSA",29740,435, ,.347103693831705,.612385321100917,39681,52211, ,.03312656021115, ,.0618226778231717,.011,-.00179320682266779,-1.72222222222222,334.88,12.2,54.9526932199131, 
"Lawrence, KS MSA",29940,1215, ,.352266107695733,.712283594394065,34198,51563,.0782797172956649,.0939718107865577,.103816088486629,.152757496958735,.011,.0353779734657892,-1.42857142857143,358.1,6.7,243.108363145828, 
"Lawton, OK MSA",30020,254, ,.402411888889426,.918287937743191,38704,49597,.205439839215692,.171507904144773,.0560290470588252,.097867592756999,.06,-.103751240061384,-1.41176470588235,721.64,9.4,116.056814533714, 
"Lebanon, PA MSA",30140,390,-.019,.419283532875963,.88051948051948,39928,56682,.150354794467723,.289547015352547,.0977695684233118,.0853529513233835,.022,-.0633526224266431,-1.875,182.88,7.8,369.142885862378,1
"Lewiston-Auburn, ME MSA",30340,451, ,.34098176493509,.514957264957265,21100,45791,.051800258204364,.218014424477023,.0325411878463312,.0912898418176319,.12,.0380518745955619,-1.13953488372093,149.16,8.9,230.168167472415, 
"Lexington-Fayette, KY MSA",30460,2754,-.111,.393982528948716,.832324670701316,27987,54174,.153224183985409,.126985095467753,.0676820764131759,.144825746301587,.141,-.0418247780294974,-1.77472527472527,325.92,8.1,321.484336385482,1
"Lima, OH MSA",30620,407, ,.361461627889558,.963054187192118,23412,45952,.195538460017205,.244638665728007,.0285108753333136,.0728578590776347,.182,-.0327531173536671,-1.47619047619048,435.46,11.1,264.179255294626, 
"Lincoln, NE MSA",30700,5718,-.036,.41084146134787,1.00928270042194,25984,54931,.111626364804628,.12193165789765,.0614079280320567,.154351039430846,.033,-.0322894827375095,-1.98380566801619,347.04,5.9,214.451485310351,1
"Lubbock, TX MSA",31180,2147, ,.426773101090638,1.21210653753027,28500,51045,.163548547539821,.0840777049032813,.0543548442992659,.102698941559713,.172,-.0229245987735559,-1.87593984962406,719.96,6.5,158.642654605072, 
"Lynchburg, VA MSA",31340,950, ,.432012717402106,1.06577595066804,28747,51108,.222915046988997,.174401466688898,.0431838084281486,.112472011393733,.165,.000569882885398508,-1.65425531914894,207.06,7.8,119.14892380637, 
"Macon, GA MSA",31420,571,-.435,.433364530108794,1.58178752107926,26168,53403,.190635375023648,.187128239217225,.041875039536274,.113970101761746,.323,-.0923742768330636,-1.60693641618497,414.25,11.9,134.847155069576,1
"Madera, CA MSA",31460,175,-.033,.438367602146814,.897849462365591,36480,52487,.188479653850249,.0845420591738347,.0618977532707788,.0454228344457429,.079,-.101963890544917,-1.77777777777778,616.366666666667,9.5,70.5943524449696,1
"Madison, WI MSA",31540,6211,.955,.364474969195949,.772967101179392,27395,63936,.0978178071732462,.140985636733729,.0445765629321711,.17280685786302,.066,-.0313903966666208,-1.63896103896104,217.82,5.5,208.631295552003,1
"Manchester-Nashua, NH MSA",31700,1856,-.023,.404459116056861,.766452251360713,46616,71276,.127204816045544,.16229023968717,.0873926217106793,.159340354651339,.022,-.015877667397895,-1.6271186440678,253.78,6.7,457.371685516194,2
"Manhattan, KS MSA",31740,1439, ,.41077473445112,1.19744318181818,45629,47903,.0498126441863326,.10323360080875,.0636396415049588,.117236633431451,.073,-.0184937141832663,-1.41176470588235,257.08,5,69.2384394842383, 
"Mankato-North Mankato, MN MSA",31860,933, ,.409506619878952,1.1271186440678,15536,54637,.0968132254611038,.1565440518365,.0408375787399565,.136256996591489,.019,.00866562260638033,-1.46341463414634,72.16,5.1,80.8634818114998, 
"Mansfield, OH MSA",31900,520,.416,.418901221598974,1.07620817843866,30043,42852,.150941709091687,.265432239783714,.0328514473103606,.077167284666574,.261,-.124313265518544,-2.88333333333333,191.6,9.8,251.32827693877,2
"Medford, OR MSA",32780,642,-.008,.346603626904314,.573208722741433,33301,45557, ,.15463718434489, ,.110472454425789,.004,.0869673704602716,-1.8,309.66,12.4,73.0025107916124,2
"Memphis, TN-MS-AR MSA",32820,3726,.04,.436974869652583,1.22127769191139,33328,62838,.169252216272387,.147343264721296,.0657316967597213,.151163171302666,.427,-.0784821282120731,-1.76445497630332,1014.12,11,287.493013187226,6
"Merced, CA MSA",32900,262, ,.368922217915488,.575091575091575,35433,51227,.10674964803756,.0919326545184036,.0883935161334556,.0418229436169631,.022,.0162146506189979,-1.23529411764706,594.16,17.5,132.194665073499, 
"Michigan City-La Porte, IN MSA",33140,253, ,.463406908411358,1.18072289156627,22154,50348,.170568225777884,.23828109299605,.0466331848801603,.0746426524002632,.216,-.0820024923640444,-1.09090909090909,179.8,11,186.306447180715, 
"Midland, TX MSA",33260,497,-.065,.406447752960537,1.125,37810,73516,.125952567408137,.0801769717578112,.0621584098897302,.108519551758861,.089,.0428880628995916,-1.5,307.64,3.9,152.029412321076,1
"Milwaukee-Waukesha-West Allis, WI MSA",33340,9225,.335,.407432994092651,1.0991578103068,27220,62697,.15002007977445,.162199650866589,.0446208607808047,.170366783647166,.586,-.0535942575277489,-1.71203830369357,541.78,8.4,1069.53220887408,2
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",33460,23753,.326,.382390047417363,.962678108808287,30584,71915,.112034158931637,.139614380220367,.0705591780319575,.189074397629401,.144,-.00927993684485353,-1.65204799338022,107.14,6.6,544.174592372291,5
"Mobile, AL MSA",33660,1070,-.349,.447923869448757,1.33019755409219,27705,52434,.186565513473959,.180390405528393,.0522968208750119,.111935811681881,.42,-.0213426151421718,-1.57272727272727,558.34,11.1,335.92003341178,2
"Modesto, CA MSA",33700,714,.972,.430212212857045,.860917941585534,33398,55832,.115305220587651,.119675363847898,.0602545095707441,.0595168773999759,.011,-.044112777325874,-1.31818181818182,518.76,16.3,344.155642565181,1
"Monroe, LA MSA",33740,279, ,.497441428385717,1.64874551971326,22683,49029,.165347906497263,.190676829283873,.0422305575874353,.114278340900787,.482,-.0739995291613584,-1.74809160305344,420,7.9,118.624206440189, 
"Monroe, MI MSA",33780,566, ,.427289142014933,1.10902896081772,32500,54563,.205662220829378,.222331872024149,.0524237033486649,.0835152414406182,.058,-.0766111218059201,-2.13333333333333,269.625,10,276.706622282201, 
"Montgomery, AL MSA",33860,691,.067,.455100518780576,1.34604519774011,33362,60470,.151546675896773,.152829673156694,.0691200842411936,.136811172802614,.343,-.0901160708571491,-1.78902953586498,346.5,9,138.048355264342,2
"Morgantown, WV MSA",34060,2309,-.036,.423626362806232,1.03576158940397,34406,45134,.131955044281466,.181314686631402,.0703208699932575,.107270496939084,.039,-.0524055314965318,-1.41958041958042,190.425,6.6,128.569015797096,1
"Morristown, TN MSA",34100,264,-.033,.390585430959133,.809885931558935,26761,40529,.215726857097044,.229673949831628,.0862379978859823,.0621758304923941,.028,-.112804589761769,-1.33333333333333,364.78,11.2,190.83139895034,1
"Muncie, IN MSA",34620,2579,-.049,.404594844969472,.909727626459144,26812,39134,.141643797095261,.187965459718458,.0416599403221355,.0802569602008234,.24,.0359981630124167,-1.475,315.42,11.4,300.086249969668,1
"Napa, CA MSA",34900,308, ,.413704454869546,.854889589905363,74140,73870,.138447375613124,.086793730356361,.0812704075027689,.150149769012288,.054,.0650739272930965,-2.86206896551724,365.86,8.4,182.377096700545, 
"New Haven-Milford, CT MSA",35300,4496,-.127,.406285178868405,.840341515474922,40089,71488,.179606483744806,.178874723879674,.0658678729873664,.129427214223475,.237,-.021416666383364,-1.57361963190184,383.44,10.4,1426.74697128839,1
"Niles-Benton Harbor, MI MSA",35660,547, ,.446925430992551,1.07460035523979,19527,49537,.167493520605729,.202440204557093,.0258344761859736,.113997693807383,.497,-.0579819235106687,-1.5521472392638,437.95,10.6,276.202260143088, 
"Norwich-New London, CT MSA",35980,1875, ,.403314791882604,.901076371091748,43177,70768,.194043464694247,.188268217886143,.048445750916953,.128088380092885,.074,-.0193907674667468,-1.23148148148148,383.5,8.4,412.188423134861, 
"Ocala, FL MSA",36100,599,-.129,.425438234435853,1.10726072607261,30730,41446,.170547448285321,.221926084871509,.0459976023865444,.0810755130515616,.165,-.0936297519856397,-1.63309352517986,471.1,12.9,209.080679987977,1
"Ocean City, NJ MSA",36140,294, ,.398939903399891,.93103448275862,40475,57526,.32304772453259,.218205389470234,.00969143173597771,.158057570820295,.073,-.0507885406729297,-1.15384615384615,253.9,10.2,386.855109832626, 
"Odessa, TX MSA",36220,229,-.042,.353341540253975,1.00888888888889,35379,55654,.101457997541949,.0721142821859484,.06308183938079,.043138864485166,.073,-.115406614465956,-1.5,593.02,5.3,152.759226734698,1
"Ogden-Clearfield, UT MSA",36260,2253,-.012,.341299792963113,.509819967266775,42845,65290,.124749278411037,.122877253130505,.0748767455386505,.117749293255612,.014,.0118369288258181,-1.64814814814815,151.4,5.9,368.70785414135,1
"Oklahoma City, OK MSA",36420,4421,.399,.396544575802224,.885279418446162,31948,54786,.160290286616899,.145356615882693,.0784248320604314,.129177841114451,.236,-.0562659532466178,-1.71026722925457,408.7,6.1,227.338117077979,10
"Omaha-Council Bluffs, NE-IA MSA",36540,4541,.173,.385583618780894,.948425196850395,27976,62007,.127609546689517,.143433086513338,.072791980619652,.150691249572142,.282,-.0323249461824275,-1.70428893905192,385.98,5.9,198.947156508203,4
"Oshkosh-Neenah, WI MSA",36780,1357, ,.369475825121006,1.07342465753424,24469,51612, ,.206067959775227, ,.130721665907963,.039,.0594714747740676,-2,177.85,5.7,384.347474554315, 
"Owensboro, KY MSA",36980,198,.955,.415027120783793,1.13,26859,47255,.249498270675899,.22191815766707,.046025814728836,.0672420023839771,.062,-.256013548841195,-1.16666666666667,130.1,6.8,127.718931240619,1
"Oxnard-Thousand Oaks-Ventura, CA MSA",37100,1946,.982,.402940242919196,.729083665338645,70962,85776,.127030897321238,.0704052352193402,.129093735360504,.114208106973534,.009,-.014266848489293,-1.52287581699346,207.24,9.4,446.694883073129,1
"Palm Bay-Melbourne-Titusville, FL MSA",37340,2523,.148,.440733000821937,1.07430103408656,31824,50068,.182161380691209,.16882857088297,.0579563688837628,.120865012620678,.138,-.0090514818020651,-1.49753694581281,560.9,12.1,534.995756249293,4
"Pensacola-Ferry Pass-Brent, FL MSA",37860,1215,-.16,.418600367461976,1.1268954509178,30087,53229,.192518149311951,.151326876658452,.057183876909741,.12136235686308,.224,.00260706503716578,-1.55555555555556,572.86,10.5,269.168644181163,1
"Peoria, IL MSA",37900,1146,-.092,.437526982744597,1.12445980985307,25509,57123,.168979880668941,.188855360889088,.0385652934950048,.125750644699154,.331,-.114041955230059,-1.7304347826087,371,8,153.463722341238,1
"Phoenix-Mesa-Scottsdale, AZ MSA",38060,13408,.039909091,.397676416718979,.832243058584098,39377,59964,.11999867388254,.104067923831654,.0843485032151663,.119205822932823,.038,-.0423152002458402,-1.64298724954463,399.55,9.1,287.859235295298,11
"Pittsburgh, PA MSA",38300,11150,.918,.414364185225881,1.01372801372802,26800,53260,.179175165199998,.236431014567937,.0647483520400086,.141961345262615,.356,-.0536427867446563,-1.66564651874522,239.84,7.4,446.141358085535,2
"Pittsfield, MA MSA",38340,790, ,.392992439445983,.685207100591716,30129,49397,.111017998139449,.209312812623363,.0301378499104322,.130649935753381,.035,-.0238193724865569,-1.55882352941176,362.82,9.4,141.579058134615, 
"Portland-South Portland, ME MSA",38860,2809, ,.359839803126356,.60624796615685,27050,58387,.0916057391961006,.170881959981031,.0661835375690797,.169570163718733,.051,.0911970733637024,-1.15116279069767,135.466666666667,6.2,247.204246562767, 
"Prescott, AZ MSA",39140,517,-.006,.413108850079743,.655642023346304,44950,43880, ,.158712323070433, ,.12384654011875,.002,-.0793751958383142,-.5,314.225,10.9,25.9780913949174,3
"Provo-Orem, UT MSA",39340,3096,-.006,.365839119424415,.624394966118103,30904,62531,.0381139753057739,.0665449193185166,.119484287664926,.119381920993768,.002,-.0435699949834019,-1.02083333333333,74.125,6.7,97.6345772664011,2
"Pueblo, CO MSA",39380,239, ,.345801036282712,.57563025210084,27500,47508,.0958974011264028,.115437749380314,.0459226991309534,.0860546048961714,.015,-.0701927234158714,-1.875,571.62,11.1,66.6622223342736, 
"Punta Gorda, FL MSA",39460,284, ,.434658416589182,1.12068965517241,36230,45534,.156176725758132,.237402757639812,.0647017863855117,.106886210989281,.051,.0678893250805135,-.444444444444444,246.06,12.6,235.16539318215, 
"Racine, WI MSA",39540,827,-.11,.405102777942654,1.18011695906433,24079,59891,.124168150356342,.183690554535883,.0284999022793858,.111087787430104,.145,-.0347994310570383,-1.81188118811881,222.56,9.4,587.691649155355,1
"Rapid City, SD MSA",39660,376,-.013,.384742762628184,.810160427807487,41659,53262, ,.170874056299765, ,.125758430816428,.014,.114087503081096,-1.42857142857143,389.98,4.9,20.2290913423992,1
"Reading, PA MSA",39740,1833,-.049,.451926952979204,.974281391830561,32522,60682,.173232842139559,.233260765234981,.0573324099520365,.103058810578855,.054,-.0459775092176412,-1.4746835443038,319.04,9.4,480.372305868875,1
"Redding, CA MSA",39820,539,-.01,.373863612267634,.81342062193126,37943,45401, ,.162884689004533, ,.082714376680729,.003,.0285199819690899,-1.36363636363636,718.98,12.2,46.9414860270978,2
"Richmond, VA MSA",40060,4956,.364666667,.411079308835675,.943731490621913,41561,69729,.165837052489047,.145260068687143,.0762054217288574,.168440075684457,.313,-.042173387987792,-1.7632527020072,244.7,8.2,221.329721768007,3
"Riverside-San Bernardino-Ontario, CA MSA",40140,7107,-.074,.407703496468237,.961794943039733,47932,61153,.126856918775852,.0937436822807815,.0763245988276415,.0635635706657884,.05,-.0202354053179347,-1.64042661249365,350.58,14.1,154.964097218423,5
"Roanoke, VA MSA",40220,1217, ,.434270804890031,.926989335520919,32439,52931,.187498186232781,.179892797292212,.0593001115668369,.130530511479633,.33,-.0564946857999028,-1.7378640776699,254.06,6.6,165.200712535788, 
"Rochester, MN MSA",40340,1591, ,.419192639949253,1.22829964328181,32087,64547,.0687840514123747,.163737375019164,.0640220786222872,.149318440649179,.049,.0380589437709383,-1.28057553956835,56.72,4.5,115.133795328532, 
"Rochester, NY MSA",40380,5044,.218333333,.414897903514895,1.01256564141035,27752,57689,.138716141903183,.161642670396272,.0466216044707902,.134091311131192,.337,-.0422860663024055,-1.66611570247934,286.68,7.8,360.068332835957,3
"Rockford, IL MSA",40420,1428,-.109,.405502763936678,1.04586518415566,24241,53737,.165052622917082,.192676864530891,.0321568955346002,.0979988820213358,.214,-.00180061359372625,-1.51980198019802,716.5,12.3,440.044248966013,1
"Rocky Mount, NC MSA",40580,247,.553,.465014633021312,1.4124513618677,30858,50193,.20166078703778,.188281670765359,.0476574803213643,.110511706112048,.199,-.075139334994476,-1.84375,543.66,14.3,145.726088719692,1
"Rome, GA MSA",40660,574,.856,.44871025532317,1.00688468158348,27487,46330,.175152102346127,.1416655333424,.0429017747588819,.0710279353394627,.169,-.0315918146732292,-1.05970149253731,431.575,12.1,188.889968478802,1
"St. Cloud, MN MSA",41060,1573, ,.389671061502288,1.05253399258344,19750,55548,.0822573028744358,.184016271775985,.045021486758436,.107797154717971,.054,.152985504174757,-.845070422535211,86.65,6.7,107.964698909383, 
"St. Joseph, MO-KS MSA",41140,293, ,.415667635641831,.866666666666667,21732,46808,.176627157679493,.217578552994977,.035218708177784,.0856914895419591,.053,-.00741251840881167,-.444444444444444,318.72,8.1,76.9131400529095, 
"St. Louis, MO-IL MSA",41180,14649,.618,.41926900527441,1.13713842975207,31215,61044,.147900683863767,.161763395261252,.0616118614517625,.146527584551741,.538,-.0432757926574146,-1.84299446548209,463.58,8.9,326.19937368806,5
"Salem, OR MSA",41420,1265,-.008,.341144692447342,.542372881355932,39258,51208, ,.127911532799197, ,.1016231822567,.008,-.00732926803821667,-1.93548387096774,229.58,12.6,203.17998430847,1
"Salinas, CA MSA",41500,920,-.029,.410374655101739,.759277833500502,55765,73338,.134230298664036,.0535828773059181,.0960524782106777,.0804830257070132,.076,-.0680411806900046,-1.25373134328358,447.4,9.6,126.518801759215,2
"Salt Lake City, UT MSA",41620,7050,-.016,.358506958332016,.638297872340427,35804,64726,.0998752560276608,.111101805821246,.081023523403286,.128012503183749,.013,.0153652404977768,-1.42962962962963,338.28,7.1,117.651112555722,3
"San Angelo, TX MSA",41660,220, ,.449149049865051,.8125,29622,51451,.128586518610729,.101252297026845,.0483185537724366,.089353289760417,.025,-.0799909946970206,-1.10344827586207,269.3,5.9,43.4511317302307, 
"Sandusky, OH MSA",41780,299, ,.432930485031937,.832775919732441,26914,49777,.172619706006866,.249222984764212,.0512809912726064,.102224073632198,.148,-.0912662090645484,-1.34883720930233,294.2,8.6,306.406586919819, 
"San Jose-Sunnyvale-Santa Clara, CA MSA",41940,6287,.474,.39268758336398,.737545388525779,61489,100244,.101429425616925,.0627544031091462,.11831062984037,.155730500050946,.012,.00139647714448435,-1.5792276964048,258.84,9,685.719030206881,6
"Santa Cruz-Watsonville, CA MSA",42100,1237,-.011,.322245368654535,.420610687022901,64350,73592,.0854908126327492,.0621882451855523,.114782485486998,.148396722863619,.003,-.0261461537104414,-1.47619047619048,427,8.7,589.396766497999,1
"Santa Fe, NM MSA",42140,433, ,.321715757295206,.233684210526316,32955,63017, ,.0452081586221283, ,.130708068266859,.004,.134474525247626,-1,342.525,9,75.5048432871351, 
"Savannah, GA MSA",42340,951,.165,.448071453366174,1.21068859198356,33879,58678,.158207014692096,.145963813701861,.0723859643400447,.143188439015491,.305,-.0671783102739003,-1.67605633802817,336.28,9.1,259.391309612493,2
"Seattle-Tacoma-Bellevue, WA MSA",42660,20453,-.056,.35978565230665,.645393068469992,41758,71962,.130974607068138,.120093132386558,.0851671654509913,.174725789257454,.075,-.0450679361353815,-1.78039215686275,334.16,8.2,585.763838592576,4
"Sheboygan, WI MSA",43100,496, ,.398876652532728,.914171656686627,27794,54103, ,.235299618821539, ,.114361998100222,.037,.0206586349337927,-1.23529411764706,152.45,6.8,225.923740263618, 
"Sherman-Denison, TX MSA",43300,287, ,.418698891865677,.892255892255892,25774,49474,.194033889396786,.152487758115876,.0359115806774539,.0817535424575231,.056,-.00400662261962745,-1.08,268.64,9.1,129.584599754386, 
"Shreveport-Bossier City, LA MSA",43340,1014,.114,.472194223238344,1.341,27183,55744,.190928562722687,.182283459252028,.0554817783985249,.124443856647238,.391,-.0414718478273147,-1.59424083769633,289.95,7.6,153.653473005075,2
"Sioux City, IA-NE-SD MSA",43580,484, ,.415548831638685,1.02040816326531,28529,52303, ,.200209078496411, ,.0957819612180929,.025,-.194682965702244,-1.52631578947368,245.76,5.2,69.2317017590121, 
"Sioux Falls, SD MSA",43620,1155, ,.394263353590197,1.09742351046699,30400,58286,.152037222379268,.169015658327234,.0650678564788994,.148714435887528,.045,-9.53752394632218E-005,-.62962962962963,273.9,3.9,88.6214100342365, 
"South Bend-Mishawaka, IN-MI MSA",43780,2121, ,.415927187044348,.86024551463645,26121,48439,.146681317103318,.192526679105478,.0448274834941962,.110751405459686,.199,-.0399929619053186,-1.55376344086022,328.7,10.3,336.765470659107, 
"Spartanburg, SC MSA",43900,806,.284,.458310443575819,1.18472906403941,28156,47070,.194329663739569,.1667992377165,.0441419305337475,.0990984478665125,.199,-.0831999145268279,-1.62244897959184,455.88,10.6,351.897333770231,2
"Springfield, IL MSA",44100,2187, ,.405596263951399,1.0704744357439,26841,59889,.132374412650132,.174520805564699,.056948917601034,.148084391464439,.277,.0224902069346028,-1.40701754385965,755.54,8,177.697642288499, 
"Springfield, MA MSA",44140,4252, ,.381425563296012,.660558863948693,35859,60268,.131000673882552,.165384578485908,.0594993746575791,.116634391921327,.166,-.00109391588394904,-1.88834951456311,521.38,9.9,375.840069137579, 
"Springfield, MO MSA",44180,1754, ,.404632258694163,.830813953488371,30642,43390,.127262075355217,.172277266739083,.0733792269514509,.112130033915166,.029,.0275573716931087,-1.75294117647059,485.06,8,145.241256344798, 
"Springfield, OH MSA",44220,454,-.087,.386010840212931,.657894736842105,26555,45151,.205256013468552,.223422004807239,.0650914043529206,.0836269949189653,.258,-.126920689192348,-2.34,333.06,10.8,348.031202685001,1
"State College, PA MSA",44300,2357, ,.424848356384516,.894423158790975,30239,52923,.059029846428577,.172624566789856,.0813126361400266,.122569805926947,.105,-.0310460831608201,-1.55813953488372,97.82,5.3,138.739562771084, 
"Sumter, SC MSA",44940,201, ,.485763230355079,1.27570093457944,29932,50987,.174857556300644,.151181469000433,.0588199644208177,.101961365911535,.185,-.153073829542257,-1.74358974358974,662.84,13.9,161.571979914233, 
"Syracuse, NY MSA",45060,3792,-.081,.404458027258192,.829956399076685,26789,56485,.118366382738454,.177535385748947,.045350461219414,.115113701498683,.322,-.0153457014000149,-1.85301204819277,284.26,8,277.823866469532,2
"Tallahassee, FL MSA",45220,2787,.171,.452234185507331,1.24883303411131,30006,56132,.128137678255207,.105622180657938,.0711251656740374,.152205216588498,.243,-.0686802886728277,-1.86875,662.18,11.2,153.877535595736,2
"Tampa-St. Petersburg-Clearwater, FL MSA",45300,9254,-.12,.42896977833918,.971256971256974,33593,49882,.168316087657452,.166968733858657,.0696715473328167,.118578618520953,.26,-.0291805460145922,-1.55430500844119,437.7,10.4,1107.34538389456,4
"Terre Haute, IN MSA",45460,958,-.047,.408777925619584,1.07322175732218,23934,42974,.104256515939711,.211378848873267,.0650215194085534,.0803368348179218,.1,-.0362940903120886,-1.36842105263158,182.3,8.2,117.706331513307,2
"Toledo, OH MSA",45780,4042,.857,.429239615620564,1.08265280871072,22260,49636,.149394016857504,.19465083881946,.0453868328030755,.105506578197493,.383,-.0355411493500667,-1.71924746743849,533.7,11.2,402.50946642164,1
"Topeka, KS MSA",45820,1310,-.061,.404023053891121,.88248673237301,26355,53284,.149986902355312,.191328266948857,.0531174491099892,.121304215534659,.102,-.0394396705974509,-1.75352112676056,380.34,7.1,72.3467268864284,1
"Tucson, AZ MSA",46060,3643,-.037,.395153103402661,.723942903312685,36359,51806,.0991704059166464,.0884745847837566,.0855518387762116,.113559672785253,.02,-.0195206170502584,-1.40192926045016,442.35,10.8,106.700686002299,1
"Tulsa, OK MSA",46140,2600,.295,.395358261660747,1.02754000744325,27431,53136,.180420618599966,.16650737899467,.0772987661574618,.131253580509008,.28,-.0213607194406938,-1.61330049261084,534.56,7,149.536228459997,8
"Tuscaloosa, AL MSA",46220,1133,.169,.430914286625939,1.28949691085613,28461,50195,.183671083112918,.155248302434019,.0557468970299052,.107930087290434,.358,-.0199675196840034,-1.64507042253521,406.92,9.1,83.9943264131307,2
"Tyler, TX MSA",46340,450, ,.451989243067945,1.3927813163482,30393,56107,.169354687304314,.114911692509633,.0626323904385784,.11762829535244,.172,.0053625662097673,-1.5530303030303,363.9,7.7,227.59022640051, 
"Utica-Rome, NY MSA",46540,1014, ,.431692442952834,.881818181818182,21677,50110,.149459042076492,.199553981831311,.0459551634048278,.100044042712681,.173,-.0396794464746058,-1.16129032258065,244.58,8.3,114.103886629407, 
"Valdosta, GA MSA",46660,595,.661,.447193738396888,1.38850174216028,24100,46701,.165814812113227,.146014760781941,.0348552864300588,.0939628230422886,.246,-.0761359321909055,-1.70287539936102,326.125,13.5,87.8316527430156,1
"Vallejo-Fairfield, CA MSA",46700,764,-.139,.376917488548271,.84203821656051,51935,72824,.153282283024156,.116989252317679,.0799763395917156,.0993938487711125,.067,-.0982590401005578,-1.50335570469799,461.38,12.1,502.995450384547,1
"Visalia-Porterville, CA MSA",47300,476,-.018,.414254015791469,.902240325865581,31478,53490,.114446188855676,.0680875155441523,.0338780429874176,.0415484209499276,.013,-.144517463889879,-1.52173913043478,456.24,13.5,91.6582341318793,1
